placeOfUse,entryAmount,memo,category
메가커피 신촌점,20997,화장품 구매,카페
이디야커피 잠실점,119918,아메리카노,카페
던킨도너츠 강남역,91130,치킨 세트,카페
교보문고 광화문점,117105,화장품 구매,여가/취미
롯데백화점 본점,132650,영화 관람,쇼핑
서울교통공사,114079,편의점 간식,교통
롯데백화점 본점,63820,주유,쇼핑
쿠팡,135793,티켓 구매,쇼핑
쿠팡이츠,128236,카페라떼,식비
서울교통공사,83806,도서 구매,교통
세븐일레븐 홍대점,69407,화장품 구매,편의점
쿠팡이츠,61461,택시요금,식비
버거킹 강남점,89161,주말 장보기,식비
bhc치킨 대치점,138301,생활용품 구매,식비
스타벅스 강남역점,9092,주유,카페
카페베네 종로점,5138,주말 장보기,카페
메가박스 강남,123394,주말 장보기,여가/취미
쿠팡,4782,티켓 구매,쇼핑
11번가,30675,생활용품 구매,쇼핑
교보문고 광화문점,57428,택시요금,여가/취미
파파존스 강남점,139067,옷 구매,식비
카페베네 종로점,46049,저녁 배달,카페
메가커피 신촌점,8235,티켓 구매,카페
홈플러스 강서점,99465,화장품 구매,마트
T맵택시,114678,영화 관람,교통
bhc치킨 대치점,86421,카페라떼,식비
G마켓,40603,주말 장보기,쇼핑
BBQ치킨 역삼점,77377,주말 장보기,식비
맘스터치 사당점,141231,도서 구매,식비
하이패스,20509,아메리카노,교통
T맵택시,59596,주말 장보기,교통
YES24,48329,주유,여가/취미
이마트 용산점,62663,영화 관람,마트
CU 신림점,131004,티켓 구매,편의점
롯데시네마 월드타워,147331,택시요금,여가/취미
하나로마트 양재,146575,주유,마트
하나로마트 양재,105060,주말 장보기,마트
배민1,90442,편의점 간식,식비
G마켓,58414,생활용품 구매,쇼핑
알라딘 중고서점 홍대,102536,주유,여가/취미
교보문고 광화문점,85184,주말 장보기,여가/취미
카카오택시,129740,스낵 구입,교통
이마트 용산점,26240,화장품 구매,마트
코스트코 양재점,83777,식재료 구매,마트
하나로마트 양재,42576,점심 식사,마트
YES24,125383,택시요금,여가/취미
코스트코 양재점,37835,아메리카노,마트
11번가,32203,치킨 세트,쇼핑
롯데시네마 월드타워,110422,아메리카노,여가/취미
GS25 강남역점,55527,스낵 구입,편의점
미스터피자 홍대점,65181,택시요금,식비
다이소 신촌점,121412,아메리카노,생활
코스트코 양재점,11577,영화 관람,마트
롯데시네마 월드타워,29766,택시요금,여가/취미
쿠팡이츠,31481,저녁 배달,식비
하나로마트 양재,74396,택시요금,마트
bhc치킨 대치점,138879,주말 장보기,식비
BBQ치킨 역삼점,105377,택시요금,식비
롯데시네마 월드타워,13937,주말 장보기,여가/취미
카카오택시,97780,카페라떼,교통
ABC마트 강남점,53444,영화 관람,쇼핑
T맵택시,77698,화장품 구매,교통
SK주유소 방배점,86037,저녁 배달,교통
투썸플레이스 홍대점,59484,티켓 구매,카페
SK주유소 방배점,31052,점심 식사,교통
SK주유소 방배점,40071,생활용품 구매,교통
알라딘 중고서점 홍대,53724,화장품 구매,여가/취미
교보문고 광화문점,61105,영화 관람,여가/취미
롯데시네마 월드타워,129094,카페라떼,여가/취미
G마켓,67094,아메리카노,쇼핑
버거킹 강남점,104468,옷 구매,식비
미스터피자 홍대점,106252,식재료 구매,식비
교촌치킨 서초점,138898,편의점 간식,식비
쿠팡이츠,121565,아메리카노,식비
GS25 강남역점,141936,도서 구매,편의점
ABC마트 강남점,16211,지하철 요금,쇼핑
세븐일레븐 홍대점,32942,아메리카노,편의점
이디야커피 잠실점,107371,옷 구매,카페
알라딘 중고서점 홍대,79511,스낵 구입,여가/취미
맥도날드 신림점,4215,스낵 구입,식비
SK주유소 방배점,87568,생활용품 구매,교통
CGV 압구정,35171,택시요금,여가/취미
GS칼텍스 강남대로점,5229,옷 구매,교통
하이패스,94654,주유,교통
카페베네 종로점,102756,옷 구매,카페
교촌치킨 서초점,63567,스낵 구입,식비
알라딘 중고서점 홍대,98209,주유,여가/취미
세븐일레븐 홍대점,66932,스낵 구입,편의점
이디야커피 잠실점,112202,치킨 세트,카페
다이소 신촌점,62568,스낵 구입,생활
BBQ치킨 역삼점,25899,영화 관람,식비
이디야커피 잠실점,57277,카페라떼,카페
던킨도너츠 강남역,122870,지하철 요금,카페
메가커피 신촌점,15953,치킨 세트,카페
서울교통공사,95619,점심 식사,교통
메가박스 강남,99266,주유,여가/취미
올리브영 강남점,149596,도서 구매,쇼핑
교보문고 광화문점,30737,저녁 배달,여가/취미
요기요,82929,치킨 세트,식비
맥도날드 신림점,15281,치킨 세트,식비
던킨도너츠 강남역,2441,점심 식사,카페
알라딘 중고서점 홍대,18014,지하철 요금,여가/취미
카페베네 종로점,28565,택시요금,카페
ABC마트 강남점,68684,스낵 구입,쇼핑
하이패스,22658,아메리카노,교통
하이패스,78739,스낵 구입,교통
현대백화점 무역센터점,70689,생활용품 구매,쇼핑
버거킹 강남점,4462,식재료 구매,식비
미스터피자 홍대점,100076,영화 관람,식비
교보문고 광화문점,46147,영화 관람,여가/취미
T맵택시,145098,저녁 배달,교통
CGV 압구정,134634,카페라떼,여가/취미
요기요,34945,스낵 구입,식비
카카오택시,42244,식재료 구매,교통
YES24,71475,스낵 구입,여가/취미
CU 신림점,51005,식재료 구매,편의점
이디야커피 잠실점,12519,옷 구매,카페
ABC마트 강남점,147449,도서 구매,쇼핑
카카오택시,2469,스낵 구입,교통
버거킹 강남점,119852,화장품 구매,식비
하이패스,13519,치킨 세트,교통
카카오택시,127788,옷 구매,교통
쿠팡이츠,6694,화장품 구매,식비
던킨도너츠 강남역,111601,주유,카페
BBQ치킨 역삼점,27015,화장품 구매,식비
CU 신림점,143976,화장품 구매,편의점
메가박스 강남,34711,저녁 배달,여가/취미
GS25 강남역점,9289,아메리카노,편의점
GS칼텍스 강남대로점,21389,택시요금,교통
T맵택시,60203,지하철 요금,교통
쿠팡,119164,카페라떼,쇼핑
11번가,127510,화장품 구매,쇼핑
파파존스 강남점,99180,편의점 간식,식비
요기요,60765,생활용품 구매,식비
서울교통공사,105207,주유,교통
ABC마트 강남점,103194,도서 구매,쇼핑
카카오택시,117128,옷 구매,교통
bhc치킨 대치점,103447,영화 관람,식비
SK주유소 방배점,46752,지하철 요금,교통
하이패스,51963,주말 장보기,교통
11번가,89230,치킨 세트,쇼핑
BBQ치킨 역삼점,105613,저녁 배달,식비
투썸플레이스 홍대점,108380,티켓 구매,카페
올리브영 강남점,134231,화장품 구매,쇼핑
홈플러스 강서점,93678,저녁 배달,마트
카페베네 종로점,51251,도서 구매,카페
GS25 강남역점,102052,카페라떼,편의점
YES24,135573,도서 구매,여가/취미
CU 신림점,77276,카페라떼,편의점
던킨도너츠 강남역,126029,주유,카페
카카오택시,83500,점심 식사,교통
SK주유소 방배점,106176,티켓 구매,교통
메가박스 강남,103742,티켓 구매,여가/취미
알라딘 중고서점 홍대,70119,화장품 구매,여가/취미
투썸플레이스 홍대점,108340,티켓 구매,카페
T맵택시,61788,치킨 세트,교통
투썸플레이스 홍대점,47761,아메리카노,카페
GS25 강남역점,87519,편의점 간식,편의점
하이패스,118602,택시요금,교통
YES24,63047,화장품 구매,여가/취미
투썸플레이스 홍대점,45157,화장품 구매,카페
파파존스 강남점,6295,지하철 요금,식비
쿠팡,79133,주말 장보기,쇼핑
설빙 신촌점,97919,영화 관람,카페
하이패스,76127,화장품 구매,교통
카페베네 종로점,138135,생활용품 구매,카페
현대백화점 무역센터점,111195,화장품 구매,쇼핑
카페베네 종로점,120850,카페라떼,카페
투썸플레이스 홍대점,85203,택시요금,카페
교촌치킨 서초점,112567,생활용품 구매,식비
올리브영 강남점,128190,주말 장보기,쇼핑
GS25 강남역점,24610,치킨 세트,편의점
서울교통공사,9549,아메리카노,교통
CU 신림점,62035,도서 구매,편의점
이디야커피 잠실점,80523,옷 구매,카페
설빙 신촌점,110420,생활용품 구매,카페
맘스터치 사당점,47828,옷 구매,식비
하이패스,87667,점심 식사,교통
롯데시네마 월드타워,147702,지하철 요금,여가/취미
스타벅스 강남역점,62578,점심 식사,카페
하나로마트 양재,65205,점심 식사,마트
ABC마트 강남점,59895,티켓 구매,쇼핑
투썸플레이스 홍대점,130112,영화 관람,카페
교보문고 광화문점,59736,생활용품 구매,여가/취미
이마트 용산점,40335,편의점 간식,마트
카페베네 종로점,63181,스낵 구입,카페
롯데백화점 본점,112160,식재료 구매,쇼핑
교촌치킨 서초점,2433,치킨 세트,식비
코스트코 양재점,65627,치킨 세트,마트
설빙 신촌점,100597,주말 장보기,카페
SK주유소 방배점,66983,화장품 구매,교통
설빙 신촌점,58539,아메리카노,카페
11번가,3116,스낵 구입,쇼핑
스타벅스 강남역점,49176,카페라떼,카페
맘스터치 사당점,96854,택시요금,식비
투썸플레이스 홍대점,74263,지하철 요금,카페
카페베네 종로점,72289,택시요금,카페
맘스터치 사당점,27257,티켓 구매,식비
다이소 신촌점,141043,주유,생활
배민1,3115,옷 구매,식비
현대백화점 무역센터점,20447,점심 식사,쇼핑
GS25 강남역점,4532,점심 식사,편의점
다이소 신촌점,55247,스낵 구입,생활
미스터피자 홍대점,2987,지하철 요금,식비
쿠팡이츠,123526,티켓 구매,식비
bhc치킨 대치점,122978,옷 구매,식비
설빙 신촌점,121477,영화 관람,카페
투썸플레이스 홍대점,122903,저녁 배달,카페
이마트 용산점,113143,치킨 세트,마트
GS칼텍스 강남대로점,102168,티켓 구매,교통
하나로마트 양재,68161,스낵 구입,마트
하이패스,59972,화장품 구매,교통
올리브영 강남점,139347,아메리카노,쇼핑
CU 신림점,134222,편의점 간식,편의점
CU 신림점,26475,영화 관람,편의점
배민1,76021,카페라떼,식비
카페베네 종로점,35788,택시요금,카페
교보문고 광화문점,129310,옷 구매,여가/취미
GS칼텍스 강남대로점,33735,생활용품 구매,교통
YES24,76868,저녁 배달,여가/취미
배민1,49565,지하철 요금,식비
bhc치킨 대치점,61169,택시요금,식비
설빙 신촌점,117536,택시요금,카페
쿠팡이츠,132742,생활용품 구매,식비
YES24,30978,주유,여가/취미
맘스터치 사당점,74354,아메리카노,식비
투썸플레이스 홍대점,58778,영화 관람,카페
YES24,17056,카페라떼,여가/취미
SK주유소 방배점,39863,점심 식사,교통
하나로마트 양재,91289,주유,마트
GS칼텍스 강남대로점,26685,영화 관람,교통
쿠팡이츠,25188,스낵 구입,식비
카페베네 종로점,92791,주유,카페
현대백화점 무역센터점,67638,지하철 요금,쇼핑
쿠팡,10017,아메리카노,쇼핑
쿠팡,97178,주말 장보기,쇼핑
버거킹 강남점,4374,화장품 구매,식비
배민1,121098,생활용품 구매,식비
배민1,44475,티켓 구매,식비
세븐일레븐 홍대점,127244,지하철 요금,편의점
BBQ치킨 역삼점,118890,카페라떼,식비
버거킹 강남점,14766,생활용품 구매,식비
bhc치킨 대치점,1613,생활용품 구매,식비
11번가,35952,도서 구매,쇼핑
ABC마트 강남점,65400,주유,쇼핑
현대백화점 무역센터점,82795,도서 구매,쇼핑
올리브영 강남점,61102,생활용품 구매,쇼핑
이디야커피 잠실점,58869,편의점 간식,카페
쿠팡이츠,26538,아메리카노,식비
올리브영 강남점,44554,주유,쇼핑
올리브영 강남점,101290,지하철 요금,쇼핑
다이소 신촌점,5595,카페라떼,생활
쿠팡이츠,118810,지하철 요금,식비
미스터피자 홍대점,103811,도서 구매,식비
카페베네 종로점,50350,주유,카페
ABC마트 강남점,90285,화장품 구매,쇼핑
이디야커피 잠실점,99324,지하철 요금,카페
BBQ치킨 역삼점,31207,화장품 구매,식비
11번가,33917,카페라떼,쇼핑
배민1,98596,주유,식비
다이소 신촌점,52056,점심 식사,생활
스타벅스 강남역점,5138,편의점 간식,카페
bhc치킨 대치점,134279,아메리카노,식비
메가박스 강남,130788,카페라떼,여가/취미
서울교통공사,121947,티켓 구매,교통
메가커피 신촌점,132673,영화 관람,카페
맘스터치 사당점,129063,주말 장보기,식비
다이소 신촌점,94036,주말 장보기,생활
메가커피 신촌점,2305,식재료 구매,카페
투썸플레이스 홍대점,140787,도서 구매,카페
버거킹 강남점,14346,지하철 요금,식비
이마트 용산점,102468,치킨 세트,마트
코스트코 양재점,79174,주말 장보기,마트
요기요,11489,티켓 구매,식비
홈플러스 강서점,145030,티켓 구매,마트
롯데시네마 월드타워,97348,카페라떼,여가/취미
스타벅스 강남역점,100709,도서 구매,카페
이디야커피 잠실점,148498,카페라떼,카페
G마켓,126754,도서 구매,쇼핑
맥도날드 신림점,13778,티켓 구매,식비
YES24,22429,저녁 배달,여가/취미
알라딘 중고서점 홍대,118741,편의점 간식,여가/취미
미스터피자 홍대점,108989,주유,식비
쿠팡이츠,29940,저녁 배달,식비
버거킹 강남점,75642,화장품 구매,식비
GS25 강남역점,133437,치킨 세트,편의점
CGV 압구정,114900,생활용품 구매,여가/취미
맘스터치 사당점,139467,티켓 구매,식비
코스트코 양재점,122713,카페라떼,마트
맥도날드 신림점,27694,스낵 구입,식비
투썸플레이스 홍대점,49496,택시요금,카페
하이패스,109429,아메리카노,교통
CU 신림점,142300,도서 구매,편의점
현대백화점 무역센터점,102694,티켓 구매,쇼핑
YES24,94537,도서 구매,여가/취미
T맵택시,27880,편의점 간식,교통
버거킹 강남점,29377,도서 구매,식비
던킨도너츠 강남역,51560,지하철 요금,카페
다이소 신촌점,89572,지하철 요금,생활
ABC마트 강남점,138533,식재료 구매,쇼핑
스타벅스 강남역점,48454,옷 구매,카페
맘스터치 사당점,75623,치킨 세트,식비
SK주유소 방배점,23438,카페라떼,교통
홈플러스 강서점,46123,저녁 배달,마트
던킨도너츠 강남역,74855,지하철 요금,카페
롯데백화점 본점,126386,주유,쇼핑
투썸플레이스 홍대점,75632,주말 장보기,카페
서울교통공사,28436,편의점 간식,교통
GS칼텍스 강남대로점,123538,스낵 구입,교통
G마켓,48842,지하철 요금,쇼핑
메가박스 강남,132228,아메리카노,여가/취미
맥도날드 신림점,34015,치킨 세트,식비
ABC마트 강남점,87703,영화 관람,쇼핑
하나로마트 양재,15551,점심 식사,마트
CGV 압구정,43732,주유,여가/취미
쿠팡,45154,주말 장보기,쇼핑
GS칼텍스 강남대로점,127114,주유,교통
G마켓,116899,주말 장보기,쇼핑
메가커피 신촌점,143945,화장품 구매,카페
T맵택시,4348,택시요금,교통
ABC마트 강남점,104323,카페라떼,쇼핑
이마트 용산점,14467,도서 구매,마트
투썸플레이스 홍대점,149977,화장품 구매,카페
요기요,25837,아메리카노,식비
YES24,97143,옷 구매,여가/취미
메가커피 신촌점,103056,주말 장보기,카페
이디야커피 잠실점,128306,옷 구매,카페
배민1,79988,생활용품 구매,식비
하이패스,2667,식재료 구매,교통
던킨도너츠 강남역,57534,지하철 요금,카페
메가커피 신촌점,74838,지하철 요금,카페
교보문고 광화문점,126302,아메리카노,여가/취미
다이소 신촌점,9348,편의점 간식,생활
YES24,95879,저녁 배달,여가/취미
GS25 강남역점,76985,영화 관람,편의점
메가박스 강남,117530,편의점 간식,여가/취미
쿠팡이츠,79236,주유,식비
bhc치킨 대치점,24396,택시요금,식비
BBQ치킨 역삼점,84766,화장품 구매,식비
교촌치킨 서초점,137269,옷 구매,식비
쿠팡이츠,13807,치킨 세트,식비
bhc치킨 대치점,94408,저녁 배달,식비
교촌치킨 서초점,45527,식재료 구매,식비
알라딘 중고서점 홍대,10103,점심 식사,여가/취미
배민1,100961,카페라떼,식비
교보문고 광화문점,37696,치킨 세트,여가/취미
BBQ치킨 역삼점,47651,영화 관람,식비
교촌치킨 서초점,14010,점심 식사,식비
하나로마트 양재,13823,영화 관람,마트
메가커피 신촌점,136761,생활용품 구매,카페
11번가,13337,저녁 배달,쇼핑
GS칼텍스 강남대로점,32447,주유,교통
서울교통공사,61539,생활용품 구매,교통
홈플러스 강서점,63773,카페라떼,마트
현대백화점 무역센터점,80849,옷 구매,쇼핑
코스트코 양재점,97808,영화 관람,마트
세븐일레븐 홍대점,129155,편의점 간식,편의점
미스터피자 홍대점,118194,스낵 구입,식비
스타벅스 강남역점,71308,카페라떼,카페
하나로마트 양재,75355,지하철 요금,마트
쿠팡,2677,지하철 요금,쇼핑
설빙 신촌점,144423,식재료 구매,카페
세븐일레븐 홍대점,19882,영화 관람,편의점
요기요,40310,생활용품 구매,식비
요기요,56798,택시요금,식비
CGV 압구정,88360,도서 구매,여가/취미
G마켓,56611,영화 관람,쇼핑
배민1,140024,식재료 구매,식비
요기요,59721,치킨 세트,식비
맘스터치 사당점,35704,지하철 요금,식비
올리브영 강남점,66850,주유,쇼핑
롯데백화점 본점,70988,저녁 배달,쇼핑
쿠팡이츠,146190,주말 장보기,식비
카카오택시,80430,지하철 요금,교통
투썸플레이스 홍대점,106804,주유,카페
파파존스 강남점,112528,영화 관람,식비
버거킹 강남점,52677,영화 관람,식비
미스터피자 홍대점,146545,스낵 구입,식비
카카오택시,7986,화장품 구매,교통
GS칼텍스 강남대로점,105083,저녁 배달,교통
배민1,89890,편의점 간식,식비
이마트 용산점,18460,치킨 세트,마트
이디야커피 잠실점,9910,치킨 세트,카페
스타벅스 강남역점,33889,주말 장보기,카페
롯데시네마 월드타워,95279,점심 식사,여가/취미
GS칼텍스 강남대로점,142545,편의점 간식,교통
YES24,102096,저녁 배달,여가/취미
이마트 용산점,76136,점심 식사,마트
메가박스 강남,47428,도서 구매,여가/취미
메가커피 신촌점,38033,스낵 구입,카페
메가박스 강남,111572,택시요금,여가/취미
맥도날드 신림점,23682,아메리카노,식비
요기요,87843,화장품 구매,식비
던킨도너츠 강남역,104164,주말 장보기,카페
메가박스 강남,86053,주유,여가/취미
버거킹 강남점,93873,지하철 요금,식비
롯데시네마 월드타워,10724,주유,여가/취미
쿠팡,120537,주말 장보기,쇼핑
배민1,111409,화장품 구매,식비
롯데시네마 월드타워,30829,점심 식사,여가/취미
하이패스,50791,티켓 구매,교통
서울교통공사,76506,화장품 구매,교통
롯데백화점 본점,40808,도서 구매,쇼핑
서울교통공사,56109,옷 구매,교통
bhc치킨 대치점,11216,주유,식비
던킨도너츠 강남역,145391,점심 식사,카페
쿠팡이츠,34865,아메리카노,식비
스타벅스 강남역점,70260,아메리카노,카페
세븐일레븐 홍대점,70799,저녁 배달,편의점
버거킹 강남점,17596,영화 관람,식비
이디야커피 잠실점,76919,영화 관람,카페
요기요,131389,점심 식사,식비
홈플러스 강서점,102033,지하철 요금,마트
이마트 용산점,143109,티켓 구매,마트
서울교통공사,104567,지하철 요금,교통
GS칼텍스 강남대로점,134057,저녁 배달,교통
롯데시네마 월드타워,42329,주말 장보기,여가/취미
투썸플레이스 홍대점,130545,스낵 구입,카페
스타벅스 강남역점,14760,저녁 배달,카페
던킨도너츠 강남역,99904,주말 장보기,카페
설빙 신촌점,63478,점심 식사,카페
G마켓,107133,아메리카노,쇼핑
카페베네 종로점,140392,옷 구매,카페
하나로마트 양재,29253,주말 장보기,마트
파파존스 강남점,50419,식재료 구매,식비
롯데시네마 월드타워,51124,스낵 구입,여가/취미
CGV 압구정,8641,점심 식사,여가/취미
메가커피 신촌점,64974,저녁 배달,카페
카카오택시,89052,스낵 구입,교통
하나로마트 양재,15793,스낵 구입,마트
올리브영 강남점,18143,점심 식사,쇼핑
G마켓,83125,생활용품 구매,쇼핑
서울교통공사,36096,영화 관람,교통
T맵택시,93382,택시요금,교통
bhc치킨 대치점,27987,스낵 구입,식비
이마트 용산점,89553,편의점 간식,마트
메가박스 강남,86917,저녁 배달,여가/취미
알라딘 중고서점 홍대,7679,택시요금,여가/취미
CGV 압구정,120282,점심 식사,여가/취미
G마켓,149746,카페라떼,쇼핑
코스트코 양재점,124655,도서 구매,마트
GS25 강남역점,79042,주말 장보기,편의점
다이소 신촌점,76664,옷 구매,생활
하이패스,35861,치킨 세트,교통
쿠팡이츠,49384,아메리카노,식비
메가커피 신촌점,39801,주유,카페
T맵택시,34961,치킨 세트,교통
BBQ치킨 역삼점,24685,도서 구매,식비
이디야커피 잠실점,81145,도서 구매,카페
이마트 용산점,36529,주유,마트
서울교통공사,135656,영화 관람,교통
알라딘 중고서점 홍대,84354,식재료 구매,여가/취미
버거킹 강남점,105647,아메리카노,식비
버거킹 강남점,141484,카페라떼,식비
G마켓,144564,카페라떼,쇼핑
카페베네 종로점,54289,주말 장보기,카페
G마켓,127254,화장품 구매,쇼핑
BBQ치킨 역삼점,94249,택시요금,식비
메가박스 강남,90118,식재료 구매,여가/취미
SK주유소 방배점,17266,영화 관람,교통
배민1,140485,주유,식비
GS25 강남역점,64597,생활용품 구매,편의점
다이소 신촌점,114886,주유,생활
다이소 신촌점,23091,식재료 구매,생활
11번가,84499,생활용품 구매,쇼핑
CU 신림점,140129,아메리카노,편의점
롯데시네마 월드타워,70344,주유,여가/취미
쿠팡,2290,주유,쇼핑
다이소 신촌점,8815,지하철 요금,생활
현대백화점 무역센터점,86400,아메리카노,쇼핑
G마켓,32811,옷 구매,쇼핑
bhc치킨 대치점,135716,영화 관람,식비
파파존스 강남점,119019,식재료 구매,식비
현대백화점 무역센터점,45230,점심 식사,쇼핑
올리브영 강남점,125713,저녁 배달,쇼핑
BBQ치킨 역삼점,147842,영화 관람,식비
배민1,17646,스낵 구입,식비
메가커피 신촌점,137327,스낵 구입,카페
이디야커피 잠실점,82653,화장품 구매,카페
CU 신림점,100636,주말 장보기,편의점
T맵택시,33754,주말 장보기,교통
메가박스 강남,99642,카페라떼,여가/취미
요기요,134057,택시요금,식비
맘스터치 사당점,12601,지하철 요금,식비
알라딘 중고서점 홍대,39266,영화 관람,여가/취미
하나로마트 양재,74669,생활용품 구매,마트
bhc치킨 대치점,3899,아메리카노,식비
코스트코 양재점,8551,스낵 구입,마트
카페베네 종로점,46871,스낵 구입,카페
서울교통공사,105503,택시요금,교통
알라딘 중고서점 홍대,58881,치킨 세트,여가/취미
G마켓,25089,택시요금,쇼핑
ABC마트 강남점,137160,편의점 간식,쇼핑
던킨도너츠 강남역,144813,옷 구매,카페
YES24,120745,영화 관람,여가/취미
맥도날드 신림점,15613,카페라떼,식비
11번가,6425,옷 구매,쇼핑
미스터피자 홍대점,30512,편의점 간식,식비
T맵택시,15089,주유,교통
G마켓,28861,주유,쇼핑
버거킹 강남점,74105,식재료 구매,식비
메가박스 강남,78458,저녁 배달,여가/취미
하이패스,61365,저녁 배달,교통
쿠팡,142603,화장품 구매,쇼핑
투썸플레이스 홍대점,80932,식재료 구매,카페
요기요,70606,식재료 구매,식비
ABC마트 강남점,48582,화장품 구매,쇼핑
SK주유소 방배점,15977,주유,교통
올리브영 강남점,93036,도서 구매,쇼핑
메가박스 강남,138218,지하철 요금,여가/취미
배민1,69539,카페라떼,식비
BBQ치킨 역삼점,44429,치킨 세트,식비
맘스터치 사당점,143920,택시요금,식비
T맵택시,67015,카페라떼,교통
롯데시네마 월드타워,43487,치킨 세트,여가/취미
올리브영 강남점,7232,점심 식사,쇼핑
BBQ치킨 역삼점,37921,택시요금,식비
SK주유소 방배점,120578,지하철 요금,교통
이디야커피 잠실점,91338,주말 장보기,카페
하이패스,46905,저녁 배달,교통
하나로마트 양재,81755,편의점 간식,마트
롯데시네마 월드타워,35053,식재료 구매,여가/취미
투썸플레이스 홍대점,97634,저녁 배달,카페
다이소 신촌점,63464,치킨 세트,생활
세븐일레븐 홍대점,18226,치킨 세트,편의점
메가박스 강남,40011,도서 구매,여가/취미
올리브영 강남점,130940,지하철 요금,쇼핑
설빙 신촌점,131654,택시요금,카페
던킨도너츠 강남역,41308,택시요금,카페
교촌치킨 서초점,72014,티켓 구매,식비
11번가,118556,택시요금,쇼핑
